Price,Close,Volume
Ticker,SI=F,SI=F
Date,,
2026-03-30,70.3239974975586,482
2026-03-31,74.69000244140625,98
2026-04-01,75.86699676513672,81
2026-04-02,72.73500061035156,0
2026-04-06,72.66100311279297,1
2026-04-07,71.82599639892578,91
2026-04-08,75.2239990234375,34
2026-04-09,76.2770004272461,4
2026-04-10,76.3239974975586,175
2026-04-13,75.52300262451172,13
2026-04-14,79.39099884033203,590
2026-04-15,79.49099731445312,473
2026-04-16,78.60600280761719,504
2026-04-17,81.73799896240234,38
2026-04-20,79.95099639892578,24
2026-04-21,76.41100311279297,34
2026-04-22,77.89299774169922,9
2026-04-23,75.46499633789062,21
2026-04-24,76.38300323486328,31
2026-04-27,75.00299835205078,7
2026-04-28,73.20500183105469,28613
2026-04-29,71.56900024414062,4128
2026-04-30,74.94000244140625,2583
